156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. .- --.. -.--     -.. 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolo ---
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. .- --.. -.--     -.. --- 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbolg --.
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. .- --.. -.--     -.. --- --. 
156171 [main] DEBUG MorseCodeTranslator  - Inside translateIndividualLetter
156171 [main] DEBUG MorseCodeTranslator  - getSymbol. .-.-.-
156171 [main] DEBUG MorseCodeTranslator  - translation- .... .     --.- ..- .. -.-. -.-     -... .-. --- .-- -.     ..-. --- -..-     .--- ..- -- -..- . -..     --- ...- . .-.     - .... .     .-.. .- --.. -.--     -.. --- --. .-.-.- 
